Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Ch	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Counter	Count
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	93	0	93	93	93	807.666687	828.666687	807.5	828.5	0	807	829	1	1	1.128379167	1.128379167	0	0	0	93	93	NaN	NaN	100	93	1	807	670	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	83	0	83	83	83	810.333313	828	810.5	827.5	0	810	828	1	1	1.128379167	1.128379167	0	0	0	83	83	NaN	NaN	100	83	1	810	671	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	108	0	108	108	108	812	827.333313	812.5	827.5	0	812	828	1	1	1.128379167	1.128379167	0	0	0	108	108	NaN	NaN	100	108	1	812	671	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	80	0	80	80	80	814	826	814.5	825.5	0	814	826	1	1	1.128379167	1.128379167	0	0	0	80	80	NaN	NaN	100	80	1	814	673	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	76	0	76	76	76	815	826	815.5	825.5	0	815	826	1	1	1.128379167	1.128379167	0	0	0	76	76	NaN	NaN	100	76	1	815	673	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	178	0	178	178	178	817.333313	825.666687	817.5	825.5	0	817	826	1	1	1.128379167	1.128379167	0	0	0	178	178	NaN	NaN	100	178	1	817	673	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	50	0	50	50	50	818.333313	824.666687	818.5	824.5	0	818	825	1	1	1.128379167	1.128379167	0	0	0	50	50	NaN	NaN	100	50	1	818	674	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	211	0	211	211	211	820	822.333313	820.5	822.5	0	820	823	1	1	1.128379167	1.128379167	0	0	0	211	211	NaN	NaN	100	211	1	820	676	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	198	0	198	198	198	820	821.333313	820.5	821.5	0	820	822	1	1	1.128379167	1.128379167	0	0	0	198	198	NaN	NaN	100	198	1	820	677	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	24	0	24	24	24	820.333313	819	820.5	818.5	0	820	819	1	1	1.128379167	1.128379167	0	0	0	24	24	NaN	NaN	100	24	1	820	680	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	49	0	49	49	49	820.666687	816.666687	820.5	816.5	0	820	817	1	1	1.128379167	1.128379167	0	0	0	49	49	NaN	NaN	100	49	1	820	682	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	83	0	83	83	83	821.666687	813.666687	821.5	813.5	0	821	814	1	1	1.128379167	1.128379167	0	0	0	83	83	NaN	NaN	100	83	1	821	685	0	0	0	0	NaN	1	197
2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue	0	106	0	106	106	106	822	811.666687	822.5	811.5	0	822	812	1	1	1.128379167	1.128379167	0	0	0	106	106	NaN	NaN	100	106	1	822	687	0	0	0	0	NaN	1	197
