"Label","Area","Mean","StdDev","Mode","Min","Max","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Ch","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","Counter","Count","File_ID","Channel","X.Pixel","Y.Pixel","X.Pixel.Centered","Y.Pixel.Centered","X.Scaled","Y.Scaled"
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,178,0,178,178,178,817.333312988,825.666687012,817.5,825.5,0,817,826,1,1,1.128379167,1.128379167,0,0,0,178,178,NA,NA,100,178,1,817,673,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",817.333312988,825.666687012,65.833312988,78.166687012,0.537414799902041,0.810017481989637
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,50,0,50,50,50,818.333312988,824.666687012,818.5,824.5,0,818,825,1,1,1.128379167,1.128379167,0,0,0,50,50,NA,NA,100,50,1,818,674,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",818.333312988,824.666687012,66.833312988,77.166687012,0.545578065208163,0.799654787689119
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,211,0,211,211,211,820,822.333312988,820.5,822.5,0,820,823,1,1,1.128379167,1.128379167,0,0,0,211,211,NA,NA,100,211,1,820,676,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",820,822.333312988,68.5,74.833312988,0.559183673469388,0.775474745989637
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,198,0,198,198,198,820,821.333312988,820.5,821.5,0,820,822,1,1,1.128379167,1.128379167,0,0,0,198,198,NA,NA,100,198,1,820,677,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",820,821.333312988,68.5,73.833312988,0.559183673469388,0.765112051689119
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,24,0,24,24,24,820.333312988,819,820.5,818.5,0,820,819,1,1,1.128379167,1.128379167,0,0,0,24,24,NA,NA,100,24,1,820,680,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",820.333312988,819,68.833312988,71.5,0.561904595820408,0.740932642487047
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,49,0,49,49,49,820.666687012,816.666687012,820.5,816.5,0,820,817,1,1,1.128379167,1.128379167,0,0,0,49,49,NA,NA,100,49,1,820,682,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",820.666687012,816.666687012,69.166687012,69.166687012,0.56462601642449,0.716753233284974
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,83,0,83,83,83,821.666687012,813.666687012,821.5,813.5,0,821,814,1,1,1.128379167,1.128379167,0,0,0,83,83,NA,NA,100,83,1,821,685,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",821.666687012,813.666687012,70.166687012,66.166687012,0.572789281730612,0.68566515038342
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,106,0,106,106,106,822,811.666687012,822.5,811.5,0,822,812,1,1,1.128379167,1.128379167,0,0,0,106,106,NA,NA,100,106,1,822,687,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",822,811.666687012,70.5,64.166687012,0.575510204081633,0.664939761782384
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,172,0,172,172,172,822.333312988,810,822.5,809.5,0,822,810,1,1,1.128379167,1.128379167,0,0,0,172,172,NA,NA,100,172,1,822,689,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",822.333312988,810,70.833312988,62.5,0.578231126432653,0.647668393782383
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,171,0,171,171,171,825,810,825.5,809.5,0,825,810,1,1,1.128379167,1.128379167,0,0,0,171,171,NA,NA,100,171,1,825,689,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",825,810,73.5,62.5,0.6,0.647668393782383
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,146,0,146,146,146,825,811.333312988,825.5,811.5,0,825,812,1,1,1.128379167,1.128379167,0,0,0,146,146,NA,NA,100,146,1,825,687,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",825,811.333312988,73.5,63.833312988,0.6,0.661485108683938
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,190,0,190,190,190,825,815,825.5,814.5,0,825,815,1,1,1.128379167,1.128379167,0,0,0,190,190,NA,NA,100,190,1,825,684,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",825,815,73.5,67.5,0.6,0.699481865284974
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,214,0,214,214,214,825,818.333312988,825.5,818.5,0,825,819,1,1,1.128379167,1.128379167,0,0,0,214,214,NA,NA,100,214,1,825,680,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",825,818.333312988,73.5,70.833312988,0.6,0.734023968787565
"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001.tif:Blue",0,142,0,142,142,142,824,820.666687012,824.5,820.5,0,824,821,1,1,1.128379167,1.128379167,0,0,0,142,142,NA,NA,100,142,1,824,678,0,0,0,0,NA,1,197,"2016-12-16_Animal-001_Control_Male_Lumbar_Slide-0002_Section001","Blue",824,820.666687012,72.5,73.166687012,0.591836734693878,0.758204010487047
